wpid,title,author1first,author1mid,author1last,author1workplace,author2first,author2mid,author2last,author2workplace,author3first,author3mid,author3last,author3workplace,author4first,author4mid,author4last,author4workplace,author5first,author5mid,author5last,author5workplace,abstract,creationdate,sectionurlid,papernumber,filefunction,jel,keywords,suppress
12,PRISON-BASED EDUCATION AND RE-ENTRY INTO THE MAINSTREAM LABOR MARKET,John,H.,Tyler,"Brown University, National Center for the Study of  Adult Learning and Literacy, and NBER",Jeffrey,R.,Kling,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We estimate the post-release economic effects of participation in  prison-based General  Educational Development (GED) programs using a panel of earnings records and  a rich set of  individual information from administrative data in the state of Florida.  Fixed effects estimates of  the impact of participating in the GED education program show post-release  quarterly earnings  gains of about 15 percent for program participants relative to  observationally similar nonparticipants.  We also show, however, that these earnings gains accrue only to  racial/ethnic  minority offenders and any GED-related earnings gains for this group seem to  fade in the third  year after release from prison. Estimates comparing offenders who obtained a  GED to those who  participated in GED-related prison education programs but left prison  without a GED show no  systematic evidence of an independent impact of the credential itself on  post-release quarterly  earnings.",2004-07,IRS,dsp01zk51vg782,"First version, 2004","J31, J38","Incarceration, GED, Earnings",0
199,"Prices and Poverty in India, 1987-2000",ANGUS,NULL,DEATON,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Using consumption data from the 43rd, 50th and 55th rounds of the National Sample Survey,  this paper computes for each of the large Indian states, by urban and rural sectors separately,  a range of consumer prices indexes for 1999-2000 relative to 1993-94 and for 1993-94 relative  to 1987-88. The main focus of the paper is to explain the methodology underlying the new  price indexes and to incorporate them into poverty lines.",2003-01,RPDS,deaton_prices_poverty_india.pdf,NULL,NULL,NULL,0
200,Adjusted Indian Poverty Estimates for 1999-2000,ANGUS,NULL,DEATON,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper explains a method that can be used to adjust the NSS 55th Round poverty  estimates so as to make them comparable with earlier official estimates. After presenting the  adjusted head-count ratios for all-India and each of the large states, for both urban and  rural sectors, the author turns to some broader issues about poverty monitoring in India,  including those raised by the non-comparability of estimates that is his main topic but  looking further to issues of future survey design and the choice of poverty lines.",2003-01,RPDS,deaton_adjusted_poverty_india.pdf,NULL,NULL,NULL,0
282,Perceived Social Position and Health in Older Adults,Amy,NULL,Collins,Princeton University,Noreen,NULL,Goldman,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We examined whether perceived social position predicted mental and physical health outcomes (depressive symptoms, cognitive impairment, mobility restrictions, and self-assessed health) in a prospective study based on a nationally representative sample of older persons. Cross-sectional and longitudinal models were used to demonstrate the relationship between perceived social position and health, as reported by participants in the Social Environment and Biomarkers of Aging Study in Taiwan (SEBAS). Lower perceived social position predicted declining health beyond what was accounted for by objective indicators of socioeconomic position. As predicted, the effect was substantially reduced for all health outcomes in the presence of controls for baseline health. After including these controls, perceived social position was significantly related only to depressive symptoms. The findings suggest that the strength of the association between perceived social position and health may have been overstated in cross-sectional studies. However, our models assess the extent to which perceived social position is associated with changes in physical and mental health over a three-year follow-up. Future studies with adequate baseline controls for health may reveal that perceived social position is a useful indicator of future health outcomes over a longer follow-up period.",2006-11,OPR,opr0608.pdf,NULL,NULL,NULL,0
197,"Consumption, health, gender and poverty",Anne,NULL,Case,Princeton University,Angus,NULL,Deaton,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Standard methods of poverty measurement assume that an individual is poor if he or she lives in  a family whose income or consumption lies below an appropriate poverty line. Such methods  can provide only limited insight into male and female poverty separately. Nevertheless, there are  reasons why household resources are linked to the gender composition of the household;  women?s earnings are often lower than men, families in some countries control their fertility  through differential stopping rules, and women live longer than men. It is also possible to link  family expenditure patterns to the gender composition of the household, something we illustrate  using data from India and South Africa. Such a procedure provides useful information on who  gets what, but cannot tell us how total resources are allocated between males and females. More  can be gleaned from data on consumption by individual household members, and for many  goods, collecting such information is good survey practice in any case. Even so, we suspect that  it will be some time before such information can be used routinely to produce estimates of  poverty by gender. A more promising approach is likely to come within a broader definition of  poverty that includes health (and possibly education) as well as income. We discuss recent work  on collecting self-reported measures of non-fatal health, and argue that such measures are already  useful for assessing the relative health status of males and females. The evidence is consistent  with non-elderly women generally having poorer health than non-elderly men. We emphasize the  importance of simultaneously measuring poverty in multiple dimensions. The different  components of wellbeing are correlated, and it is misleading to look at any one in isolation from  the others.",2002-07,RPDS,case_deaton_consumption_health_gender.pdf,NULL,NULL,NULL,0
198,Does Microfinance Really Help the Poor?  New Evidence from Flagship Programs in Bangladesh,Jonathan,NULL,Morduch,Harvard University and Stanford University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The microfinance movement has built on innovations in financial intermediation  that reduce the costs and risks of lending to poor households. Replications of the  movement?s flagship, the Grameen Bank of Bangladesh, have now spread around  the world. While programs aim to bring social and economic benefits to clients,  few attempts have been made to quantify benefits rigorously. This paper draws on  a new cross-sectional survey of nearly 1800 households, some of which are served  by the Grameen Bank and two similar programs, and some of which have no  access to programs. Households that are eligible to borrow and have access to the  programs do not have notably higher consumption levels than control households,  and, for the most part, their children are no more likely to be in school. Men also  tend to work harder, and women less. More favorably, relative to controls,  households eligible for programs have substantially (and significantly) lower  variation in consumption and labor supply across seasons. The most important  potential impacts are thus associated with the reduction of vulnerability, not of  poverty per se. The consumption-smoothing appears to be driven largely by  income-smoothing, not by borrowing and lending.  The evaluation holds lessons for studies of other programs in low-income  countries. While it is common to use fixed effects estimators to control for  unobservable variables correlated with the placement of programs, using fixed  effects estimators can exacerbate biases when, as here, programs target their  programs to specific populations within larger communities.",1998-06,RPDS,morduch_microfinance_poor.pdf,NULL,NULL,"microfinance, project evaluation, Grameen Bank, Bangladesh",0
21,Social Capital and Cultural Participation: Spousal Influences on Attendance at Arts Events,Craig,Barton,Upright,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Empirical efforts to study the determinants of participation in the arts have demonstrated  that adult attendance at arts events is influenced by adolescent exposure to the arts,  educational attainment, and current income. While many have illuminated the impact of  family socialization and individual characteristics, they have neglected the ways in which  people?s social relationships influence their adult participation in the arts. This paper  begins to redress this imbalance by focusing on the role of one crucial relationship?the  tie between spouses?in shaping attendance at arts events. The importance of social ties  is demonstrated by the finding that spouse?s background has an impact on an individual?s  arts participation comparable to one?s own characteristics and that this effect persists  even net of one?s spouse?s own attendance. Consistent with theories of a gendered  division of cultural labor, men?s attendance is more strongly influenced by spousal  characteristics than is women?s attendance.",2004-01,CACPS,WP32-Upright.pdf,NULL,Z11,NULL,0
23,Migration and Development: A Conceptual Review of the Evidence,Alejandro,NULL,Portes,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006-06,CMD,wp0607.pdf,NULL,NULL,NULL,0
24,When Father Doesn't Know Best: Parents? Management and Control of Money and Children?s Food Insecurity,Catherine, T., Kenney,University of Illinois at Urbana-Champaign,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Although developing-country research has found that spending on children's food, healthcare, and education varies depending on which parent controls income, developed-country research on child wellbeing tends to ignore intrahousehold allocation. This study uses data from the Fragile Families and Child Wellbeing Study (N = 820 couples) to analyze how mothers' versus fathers' control of money affects U.S. children's food insecurity. Results show children are least likely to experience food insecurity when parents? income is pooled and controlled by their mother and most likely to do so when parents? income is pooled and controlled by their father. Surprisingly, children also fare worse when parents? pooled income is jointly controlled?the system considered the norm for married-parent households in the United States.",2007-04,CRCW,WP07-04-FF.pdf,NULL,NULL,NULL,0
25,His Dollar ? Her Dollar ? Their Dollar: The Effects of Couples' Money Management Systems on Union  Dissolution and Women's Labor Force Participation,Catherine,NULL, Kenney,University of Illinois at Urbana-Champaign,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Most analyses of time and resource allocation in couple households ignore what couples  do with their money, assuming that money is ?absolutely fungible, qualitatively neutral,  infinitely divisible, [and] entirely homogeneous? (Zelizer 1994). If, instead, couples?  money management sets the agenda for household bargaining and serves as a mechanism  by which couples ?do gender?, we should expect that what couples do with money at an  earlier period will have an independent effect on subsequent allocative outcomes. Using  three waves of data from the Fragile Families and Child Wellbeing, I find that the money  management system a couple uses at the 12-month survey is a significant predictor of  both union dissolution and women?s labor force participation at the 30-month survey, net  of other predictors of these outcomes.",2007-03,CRCW,WP07-03-FF.pdf,NULL,NULL,NULL,0
26,"Global patterns of income and health: facts, interpretations, and policies",Angus,NULL, Deaton,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"People in poor countries live shorter lives than people in rich countries so that, if we scale  income by some index of health, there is more inequality in the world than if we consider  income alone. Such international inequalities in life expectancy decreased for many years  after 1945, and the strong correlation between income and life-expectancy might lead us  to hope that economic growth will improve people?s health as well as their material living  conditions. I argue that the apparent convergence in life expectancies is not as beneficial  as might appear, and that, while economic growth is the key to poverty reduction, there is  no evidence that it will deliver automatic health improvements in the absence of  appropriate conditions. The strong negative correlation between economic growth on the  one hand and the proportionate rate of decline of infant and child mortality on the other  vanishes altogether if we look at the relationship between growth and the absolute rate of  decline in infant and child mortality. In effect, the correlation is between the level of  infant mortality and the growth of real incomes, most likely reflecting the importance of  factors such as education and the quality of institutions that affect both health and  growth.",2006-10,CHWB,deaton_WIDER_FINAL_annual_lecture_ALL.pdf,NULL,NULL,NULL,0
27,"Stature and status: Height, ability, and labor market outcomes",Anne,NULL, Case,Princeton University,Christina,NULL,Paxson,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"It has long been recognized that taller adults hold jobs of higher status and, on average, earn  more than other workers. A large number of hypotheses have been put forward to explain the  association between height and earnings. In developed countries, researchers have emphasized  factors such as self esteem, social dominance, and discrimination. In this paper, we offer a  simpler explanation: On average, taller people earn more because they are smarter. As early as  age 3 ? before schooling has had a chance to play a role ? and throughout childhood, taller  children perform significantly better on cognitive tests. The correlation between height in  childhood and adulthood is approximately 0.7 for both men and women, so that tall children are  much more likely to become tall adults. As adults, taller individuals are more likely to select into  higher paying occupations that require more advanced verbal and numerical skills and greater  intelligence, for which they earn handsome returns. Using four data sets from the US and the UK,  we find that the height premium in adult earnings can be explained by childhood scores on  cognitive tests. Furthermore, we show that taller adults select into occupations that have higher  cognitive skill requirements and lower physical skill demands.",2006-08,CHWB,Case_Paxson_Stature_Status_8312006.pdf,NULL," I1, J3",NULL,0
28,Tipping and the Dynamics of Segregation in Neighborhoods and Schools,David,NULL,Card,UC Berkeley,Alexandre,NULL,Mas,UC Berkeley,Jesse,NULL,Rothstein,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In a classic paper, Schelling (1971) showed that extreme segregation can arise from social interactions in preferences: once the minority share in a neighborhood exceeds a ?tipping point?, all the whites leave. We use regression discontinuity methods and Census tract data from the past four decades to test for the presence of discrete non-linearities in the dynamics of neighborhood racial composition. White mobility patterns in most cities exhibit tipping-like behavior, with a range of tipping points centered around a 13% minority share. These patterns are very pronounced during the 1970s and 1980s, and diminish but do not disappear in the 1990s. We find similar dynamic patterns in neighborhoods and in schools. A variety of specification checks rule out the possibility that the discontinuity in the initial minority share is driven by income stratification or other factors, and underscore the importance of white preferences over neighbors? race and ethnicity in the dynamic process of segregation. Finally, we relate the location of the estimated tipping points in different cities to measures of the racial attitudes of whites, and find that cities with more racially tolerant whites have higher tipping points.",2006-10,ERS,17ers.pdf,NULL,NULL,NULL,0
29,Mismatch in Law School,Jesse,NULL,Rothstein,Princeton University and NBER,Albert,NULL,Yoon,Northwestern University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"An important criticism of race-based admissions preferences is that they may hurt minority  students who are thereby induced to attend selective schools. We use two comparisons to  identify so-called ?mismatch? effects in law schools, with consistent results. There is no  evidence of mismatch effects on graduation or bar passage rates of black students above the  bottom quintile of the entering credentials distribution. The data are consistent with  mismatch effects for bottom-quintile black students but do not demonstrate the importance  of these effects, as sample selection bias is a potentially important confounding factor in this  range. There is no evidence from any comparison of mismatch effects on employment  outcomes.",2006-06,ERS,16ersrevised.pdf,NULL,NULL,NULL,0
40,Have Americans? Attitudes Become More Polarized? ? an Update,John, H.,Evans,"University of California, San Diego",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Objective: I update the analysis of attitudinal polarization originally presented in DiMaggio, Evans and Bryson (DEB) (1996) by using newly available years of survey data. Method: Like DEB, I derive aggregate distributional parameters for social groups in each year of the surveys, and then regress the year of the surveys on each parameter. Results: As in DEB?s original paper, there is little evidence of general polarization in attitudes between the early 1970s and today. However, while DEB found some evidence that polarization in the public may be the result of polarization in our political system, with the additional years of data this conclusion is inescapable. Conclusions: While political scientists have recently found polarization among our elected officials on economic issues, it seems clear that members of the public who are involved with politics are becoming polarized on moral issues. Political scientists should follow up on this research to see not only if elected officials are polarized on these issues, but the causal direction of the link between officials and the public.",2002-05,CACPS,WP24%20-%20Evans.pdf,NULL,Z11,NULL,0
32,Do Chronic Stressors lead to Physiological Dysregulation?  Testing the theory of Allostatic Load,Dana, A.,Glei,"University of California, Berkeley",Noreen,NULL,Goldman,Princeton University,Maxine,NULL,Weinstein,Georgetown University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Objectives. We explore three questions: 1) Do chronic stressors predict physiological  dyregulation? 2) Is that relationship moderated by characteristics of the individual and  social environment? and 3) Do perceived levels of stress mediate the relationship  between stressors and dysregulation?  Methods. Data come from a nationally representative, longitudinal study of older  Taiwanese (n=916). Regression models are used to examine the relationship between  the number of life challenges (i.e., stressors) during 1996-2000 and physiological  dysregulation (in 2000) based on 16 biomarkers that reflect neuroendocrine function,  immune system, cardiovascular function, and metabolic pathways. We include  interaction terms to test whether psychosocial vulnerability moderates the impact of  stressors. Additional models evaluate the mediating effects of perceived stress.  Results. We find a significant association between the number of stressors and  physiological dysregulation only for those with high vulnerability. Even among this  group, the magnitude of the effect is small. The level of perceived stress partly  mediates the relationship between chronic stressors and physiological dysregulation.  Conclusions. Our results provide some support for the theory of allostatic load,  although the relationship between life challenges and physiological dysregulation is  weak. The evidence also supports the stress-buffering hypothesis: the combination of  low social position, weak social networks, and poor coping ability is associated with  increases in the physiological consequences of life challenges.",2007-01,OPR,opr0701.pdf,NULL,NULL,"Chronic stressors, physiological dysregulation, allostatic load, perceived  stress, stressful experiences, Taiwan",0
33,Perceived Social Position and Health in Older Adults,Amy,Love,Collins,Princeton University,Noreen,NULL,Goldman,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Objectives. We examined whether perceived social position predicted mental and physical health outcomes (depressive symptoms, cognitive impairment, mobility restrictions, and self-assessed health) in a prospective study based on a nationally representative sample of older persons.  Methods. Cross-sectional and longitudinal models were used to analyze the relationship between perceived social position and health, as reported by participants in the Social Environment and Biomarkers of Aging Study in Taiwan (SEBAS).  Results. Lower perceived social position was associated with declining health three years later. However, the effect was substantially reduced for all health outcomes in the presence of controls for baseline health. Perceived social position remained a significant predictor of depressive symptoms.  Discussion. The findings suggest that the strength of the association between perceived social position and health may have been overstated in cross-sectional studies. Nevertheless, perceived social position remains a useful indicator of status encompassing social, economic and cultural factors and may reveal pathways through which lower social status impacts mental well-being.",2006-11,OPR,opr0608.pdf,NULL,NULL,NULL,0
